Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label
609,11532,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.5555581,-30.38527430000001,17
610,11534,Fe,Fe,OCCURRENCE,Not worked,Low Significance,BIFM,134.694246,-30.386905300000002,54
611,11453,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.32349820000002,-30.3898413,17
612,8624,Au,Au,OCCURRENCE,Not worked,Low Significance,GNSS,132.3516173,-30.3904523,17
613,382,U,U,OCCURRENCE,Not worked,Low Significance,SAND,134.52712409999998,-30.4072353,31
614,11544,Pb,Pb,OCCURRENCE,Not worked,Low Significance,MTHH,134.3405081,-30.4124363,43
615,9089,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.55506200000002,-30.562740299999998,17
616,8215,LMST,LMST,DEPOSIT,Seasonal,Locally Significant,LMST,136.8559267,-30.5658804,23
617,9082,Au,Au,OCCURRENCE,Not worked,Low Significance,IRSU,133.3466262,-30.573934299999998,17
618,3503,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.18951769999998,-30.482126399999995,71
619,404,LMST,LMST,PROSPECT,Abandoned,Locally Significant,LMST,131.5127535,-30.484684299999998,23
620,3499,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.2133457,-30.494894399999996,71
621,3523,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.2084387,-30.4990364,71
622,3512,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.2117137,-30.501055400000002,71
623,3516,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.20716169999997,-30.509326399999996,71
624,8870,HMIN,HMIN,OCCURRENCE,Not worked,Locally Significant,SAND,134.10046210000002,-31.9658033,16
625,9251,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MSED,138.8482244,-32.0853155,68
626,8858,HMIN,HMIN,OCCURRENCE,Not worked,Low Significance,SAND,132.1085824,-30.528326300000003,16
627,9030,HMIN,HMIN,DEPOSIT,Not worked,Locally Significant,SAND,132.6788773,-30.5292803,16
628,6370,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,138.4789324,-31.954775399999995,17
629,6518,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,138.2648915,-31.957195399999996,68
630,6355,"Pb, Ag",Pb,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2667073,-31.9579065,43
631,3528,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1904257,-30.462700399999996,71
632,3525,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1943167,-30.463914399999997,71
633,3526,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1996497,-30.4649064,71
634,3527,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.19743169999998,-30.4727924,71
635,9173,Cr,Cr,OCCURRENCE,Not worked,Low Significance,CLYR,133.37976319999999,-30.4778143,11
636,3749,ALU,ALU,PROSPECT,Not worked,Low Significance,RESI,132.1524504,-30.8335713,58
637,3109,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.998203,-30.863858299999997,17
638,7413,Cr,Cr,OCCURRENCE,Not worked,Low Significance,MUIN,133.2888172,-30.5942803,11
639,406,GNSS,GNSS,DEPOSIT,Not worked,Locally Significant,GNSS,132.76864129999998,-30.594787300000004,63
640,11517,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.2459071,-30.599199300000002,17
641,403,LMST,LMST,PROSPECT,Abandoned,Low Significance,LMST,130.4112006,-30.604755199999996,23
642,6788,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.543732,-30.688490299999998,17
643,6842,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.56506299999998,-30.68903730000001,17
644,6807,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.569794,-30.6905643,17
645,6820,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.564294,-30.6906433,17
646,10839,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.565357,-30.6913093,17
647,6797,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.57270400000002,-30.6920863,17
648,6784,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.563168,-30.6923803,17
649,6825,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.53073500000002,-30.6924233,17
650,11392,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,REGO,138.6902284,-31.254790399999997,68
651,10797,"GRVL, MSLT",GRVL,OCCURRENCE,Abandoned,Low Significance,REGO,138.4242055,-30.988239399999998,83
652,4239,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5809245,-30.988764399999997,17
653,8857,HMIN,HMIN,PROSPECT,Not worked,Locally Significant,SAND,133.0887132,-30.989433299999998,16
654,11173,SAND,SAND,OCCURRENCE,Seasonal,Low Significance,SAND,135.7610219,-30.992926300000004,73
655,11353,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,138.4231555,-30.9929424,68
656,3066,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.110003,-31.0798403,17
657,3098,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.08511000000001,-31.0799283,17
658,11341,Cu,Cu,OCCURRENCE,Not worked,Low Significance,METL,138.89569740000002,-31.0805065,68
659,6503,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.9016754,-31.0815135,68
660,3079,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,135.08507,-31.081844300000004,17
661,3061,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.12356090000003,-31.0824173,17
662,3218,"Co, Ag, Cu, Ni",Co,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6755965,-31.121108399999997,21
663,3063,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.073426,-31.1215803,17
664,11618,SDST,SDST,OCCURRENCE,Abandoned,Low Significance,SDST,136.8702687,-31.123013399999998,38
665,3211,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5497405,-31.1230144,68
666,3208,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,138.6703675,-31.1248924,68
667,3217,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,138.6751535,-31.126403399999997,68
668,8311,"Cu, Ag, Au",Cu,OCCURRENCE,Not worked,Low Significance,MGTM,137.11622169999998,-31.126953399999998,68
669,6307,BAR,BAR,DEPOSIT,Abandoned,Low Significance,QBAU,138.5475765,-31.1663554,74
670,9835,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,135.2606669,-31.1696103,17
671,6501,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.8947564,-31.181253499999997,68
672,10007,CALI,CALI,OCCURRENCE,Abandoned,Low Significance,CALC,136.1661568,-31.1813734,59
673,9719,"Cu, Ag, Au, U, U3O8",Cu,PROSPECT,Not worked,Significant to SA,PHBR,137.40615559999998,-31.1818404,68
674,10705,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSED,136.8459497,-31.183882399999998,29
675,9099,"Pb, Zn",Pb,OCCURRENCE,Not worked,Low Significance,DLOM,136.5335997,-31.185458399999998,43
676,6308,BAR,BAR,PROSPECT,Abandoned,Low Significance,QBAU,138.55314950000002,-31.190272399999998,74
677,3119,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.736113,-31.191826300000002,17
678,8463,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,137.2500336,-31.2563724,68
679,6328,"OCR, Hg, Zn",OCR,OCCURRENCE,Recreation,Significant to SA,IRSU,138.5335375,-31.2597664,55
680,6455,"Zn, Cu, Pb",Zn,OCCURRENCE,Not worked,Low Significance,TCTO,138.5326975,-31.262172399999997,70
681,6416,BAR,BAR,OCCURRENCE,Abandoned,Low Significance,QBAU,138.5775695,-31.2693814,74
682,6457,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.5380415,-31.2773544,68
683,6487,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.5973775,-31.279133399999996,74
684,8426,"Zn, Ag, Pb",Zn,PROSPECT,Not worked,Low Significance,LMST,138.9429454,-31.2843495,70
685,3093,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,135.084956,-31.083201300000002,17
686,4750,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.076176,-31.0846293,17
687,6377,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6607645,-31.084671399999998,68
688,6555,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,LMST,138.8288664,-31.0848175,56
689,4905,GRNT,GRNT,OCCURRENCE,Abandoned,Low Significance,GRNT,135.1263429,-31.0850853,50
690,9617,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,137.03915569999998,-31.3469374,68
691,11389,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,138.7439284,-31.3473635,68
692,6430,PHOS,PHOS,OCCURRENCE,Abandoned,Low Significance,GUAN,138.6946344,-31.347569399999998,80
693,6450,BAR,BAR,OCCURRENCE,Abandoned,Low Significance,QBAU,138.8304874,-31.349316499999997,74
694,6431,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,SLST,138.83571740000002,-31.3502085,56
695,6442,"FELD, ASBT",FELD,OCCURRENCE,Not worked,Low Significance,VEIN,138.75926840000002,-31.3519625,1
696,9834,Zn,Zn,OCCURRENCE,Not worked,Low Significance,VOLC,135.28248190000002,-31.1303143,70
697,3060,Au,Au,OCCURRENCE,Not worked,Low Significance,BREC,134.541349,-30.7037243,17
698,384,Fe,Fe,PROSPECT,Not worked,Locally Significant,QMTU,134.719397,-30.703951300000003,54
699,6830,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.541833,-30.7039933,17
700,6840,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.54377399999998,-30.7040653,17
701,3134,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.548661,-30.70419930000001,17
702,6827,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.527639,-30.7043593,17
703,6796,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.537481,-30.7045353,17
704,3141,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.536014,-30.7047123,17
705,6841,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.541713,-30.7048793,17
706,394,Au,Au,DEPOSIT,Care/ Maintenance,Locally Significant,VEIN,134.528523,-30.707005300000002,17
707,6803,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.542472,-30.7071183,17
708,6822,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.549878,-30.7073713,17
709,6847,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.526389,-30.7079733,17
710,6795,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.525404,-30.708574300000002,17
711,399,Au,Au,OCCURRENCE,Care/ Maintenance,Locally Significant,VEIN,134.53624399999998,-30.708667300000002,17
712,6843,Au,Au,DEPOSIT,Abandoned,Locally Significant,VEIN,134.531578,-30.7090173,17
713,9165,"Au, U",Au,OCCURRENCE,Not worked,Low Significance,SHLE,134.42995109999998,-30.737489299999996,17
714,9350,HMIN,HMIN,DEPOSIT,Not worked,Locally Significant,SAND,132.2968443,-30.947301300000003,16
715,3172,"Cu, Zn",Cu,PROSPECT,Abandoned,Low Significance,VEIN,138.66829950000002,-30.9475284,68
716,10727,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,SDST,138.83021540000001,-31.352835499999998,68
717,11619,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,136.87630769999998,-31.3548864,42
718,6489,"BAR, CELES",BAR,OCCURRENCE,Not worked,Low Significance,QBAU,139.2851564,-31.3560125,74
719,9107,"LMST, DOL",LMST,PROSPECT,Not worked,Low Significance,LMST,138.5383055,-31.357940399999997,23
720,7852,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,CLYS,138.9811974,-31.3600365,56
721,3021,"Cu, Ag, Au",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,137.17449069999998,-30.784371399999998,68
722,3099,Au,Au,OCCURRENCE,Not worked,Low Significance,TCTO,134.998307,-30.86419930000001,17
723,9163,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,REGO,134.990493,-30.864582300000002,56
724,3139,Au,Au,DEPOSIT,Seasonal,Low Significance,TCTO,134.997102,-30.865476300000005,17
725,3107,Au,Au,OCCURRENCE,Seasonal,Low Significance,TCTO,134.996599,-30.8660103,17
726,3143,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,134.996385,-30.8663093,17
727,3124,Au,Au,OCCURRENCE,Seasonal,Low Significance,TCTO,134.995709,-30.8665593,17
728,3108,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,134.997022,-30.8666483,17
729,6837,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.529756,-30.7091743,17
730,594,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.1444855,-30.873075399999994,74
731,574,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.4007425,-30.8732474,68
732,17,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIM,138.4011675,-30.876863399999998,68
733,593,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.1445815,-30.8768644,74
734,11617,SDST,SDST,OCCURRENCE,Seasonal,Low Significance,SDST,136.76818669999997,-30.8783104,38
735,628,CAL,CAL,DEPOSIT,Abandoned,Low Significance,VEIN,138.1434515,-30.879725399999995,67
736,8900,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,131.98107140000002,-30.8825963,31
737,11533,Fe,Fe,OCCURRENCE,Not worked,Low Significance,BIFM,135.095833,-30.8845163,54
738,9718,Au,Au,OCCURRENCE,Not worked,Low Significance,QBAU,138.4668945,-30.9499604,17
739,9202,Au,Au,OCCURRENCE,Abandoned,Low Significance,ALLV,138.6856945,-30.950675399999994,17
740,4284,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6721435,-30.9530104,68
741,3170,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6723075,-30.954632399999998,68
742,11541,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.88403799999998,-30.9551643,17
743,4363,Cu,Cu,OCCURRENCE,Recreation,Low Significance,GOSS,138.5063905,-30.9559054,68
744,397,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.562701,-30.6938343,17
745,9352,HMIN,HMIN,DEPOSIT,Not worked,Locally Significant,SAND,132.2773314,-30.790637300000004,16
746,570,Fe,Fe,PROSPECT,Not worked,Locally Significant,QMTU,135.030321,-30.796759299999998,54
747,8332,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MSOM,137.6133246,-30.7976564,68
748,3073,Au,Au,OCCURRENCE,Seasonal,Low Significance,TCTO,134.99494099999998,-30.8669603,17
749,383,"U, U3O8",U,DEPOSIT,Not worked,Locally Significant,SAND,134.02867709999998,-30.6063473,31
750,8805,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.746079,-30.609094300000002,31
751,3018,"Cu, Au, Fe, REE, U",Cu,PROSPECT,Not worked,Locally Significant,MGTM,136.7485907,-30.6206854,68
752,33,Fe,Fe,PROSPECT,Not worked,Low Significance,QMTU,131.91601740000002,-30.6288703,54
753,418,Sn,Sn,OCCURRENCE,Abandoned,Low Significance,FPEG,134.986728,-30.885438300000004,77
754,3753,COAL,COAL,OCCURRENCE,Not worked,Low Significance,LIGN,132.1101244,-30.885838300000003,12
755,8397,"Au, Ag",Au,OCCURRENCE,Not worked,Low Significance,MTHH,134.30329709999998,-30.6569243,17
756,11182,Au,Au,PROSPECT,Not worked,Low Significance,TCTO,134.951728,-30.660842300000002,17
757,11799,Au,Au,PROSPECT,Not worked,Low Significance,VEIN,134.963615,-30.666170299999997,17
758,10948,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,REGO,138.7583083,-32.9366945,29
759,10610,"MSLT, CALI",MSLT,OCCURRENCE,Not worked,Low Significance,MSED,137.3581685,-32.9377034,29
760,9370,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSLT,138.9539513,-32.939229499999996,29
761,10235,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSLT,138.23867040000002,-32.9394474,29
762,490,GYPS,GYPS,DEPOSIT,Not worked,Significant to SA,GPSM,134.274723,-32.9395473,48
763,10553,GRNT,GRNT,OCCURRENCE,Not worked,Low Significance,GRNT,136.2981267,-32.9408614,50
764,9433,GYPS,GYPS,OCCURRENCE,Not worked,Low Significance,GPSA,139.0040773,-32.9411165,48
765,10057,SGRT,SGRT,DEPOSIT,Not worked,Low Significance,GRIT,138.0315024,-33.0563124,14
766,11570,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,135.8698168,-33.056419399999996,17
767,10702,GRNT,GRNT,OCCURRENCE,Not worked,Low Significance,GRNT,134.347778,-33.0569413,50
768,10684,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSED,138.7571753,-33.0583185,29
769,498,GRNT,GRNT,DEPOSIT,Seasonal,Significant to SA,GRNT,134.39531599999998,-33.0599763,50
770,6426,"Cu, Ag, FEORE, Pb",Cu,OCCURRENCE,Abandoned,Low Significance,IRSU,138.6132805,-31.013719399999996,68
771,6434,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,138.56332450000002,-31.013895399999996,68
772,4754,SALT,SALT,OCCURRENCE,Abandoned,Low Significance,EVAP,135.3643839,-31.0155163,45
773,3043,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.090473,-31.0853293,17
774,3105,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,135.1205879,-31.08534430000001,17
775,3121,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.1332639,-31.0857373,17
776,3110,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,135.09654799999998,-31.08651930000001,17
777,6463,Zn,Zn,PROSPECT,Not worked,Low Significance,BREC,138.8349254,-31.086560499999997,70
778,6480,Mn,Mn,OCCURRENCE,Not worked,Low Significance,MNOR,138.8416444,-31.087294500000002,64
779,3209,"Cu, Co",Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,138.67356850000002,-31.1326984,68
780,6546,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.67299450000002,-31.1418064,68
781,11803,HMIN,HMIN,OCCURRENCE,Not worked,Low Significance,SAND,132.55526129999998,-31.1501363,16
782,6337,BAR,BAR,PROSPECT,Not worked,Low Significance,QBAU,138.7883584,-31.150334499999996,74
783,432,SDST,SDST,OCCURRENCE,Abandoned,Low Significance,SDST,136.3497678,-31.150603399999998,38
784,9198,GRVL,GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,138.9421274,-31.156016499999996,83
785,6306,BAR,BAR,DEPOSIT,Abandoned,Low Significance,QBAU,138.5490305,-31.1583424,74
786,10052,GYPS,GYPS,OCCURRENCE,Not worked,Low Significance,GPSA,138.1083685,-31.1587674,48
787,415,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.96668200000002,-30.6684673,17
788,9569,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,136.5651677,-31.197807399999995,68
789,3128,Au,Au,OCCURRENCE,Not worked,Low Significance,TCTO,134.775732,-31.20006230000001,17
790,6453,Zn,Zn,DEPOSIT,Not worked,Locally Significant,MTHH,138.87044640000002,-31.2004765,70
791,11449,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.74713,-31.2029203,17
792,9768,"Cu, Ag, Au, REE",Cu,DEPOSIT,Not worked,Significant to SA,BREC,137.5190026,-31.204482399999996,68
793,11450,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.74596,-31.2088733,17
794,398,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,136.3420188,-31.2097364,71
795,6228,"Cu, Co",Cu,OCCURRENCE,Abandoned,Low Significance,BREC,138.1275414,-32.7313274,68
796,8547,"Fe, Au, U",Fe,DEPOSIT,Not worked,Locally Significant,SKRN,136.4746987,-32.7341134,54
797,10935,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,CLYS,139.0057563,-32.7343505,56
798,6644,"FEORE, Fe",FEORE,DEPOSIT,Ceased,Locally Significant,METL,137.14347659999999,-32.73458839999999,33
799,446,JADE,JADE,OCCURRENCE,Abandoned,Low Significance,MTHH,136.4656517,-32.7347074,8
800,9268,"Pb, Zn",Pb,OCCURRENCE,Not worked,Low Significance,MTHH,136.1336407,-32.8087884,43
801,10546,GRNT,GRNT,OCCURRENCE,Not worked,Low Significance,GRNT,135.2602219,-32.8103123,50
802,3206,Cu,Cu,DEPOSIT,Recreation,Locally Significant,DLOM,138.6738695,-31.087470399999997,68
803,3142,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,135.07188100000002,-31.08763230000001,17
804,3212,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6461195,-31.087832399999996,68
805,3083,Au,Au,OCCURRENCE,Seasonal,Low Significance,VEIN,135.105564,-31.088013300000004,17
806,6386,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.8133414,-31.361044500000002,68
807,6497,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,138.79842340000002,-31.3630125,68
808,6495,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,138.7749844,-31.363263500000002,68
809,6498,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,138.7982284,-31.364633500000004,68
810,6500,Cu,Cu,OCCURRENCE,Not worked,Low Significance,SDST,138.80913940000002,-31.367796500000004,68
811,6496,Cu,Cu,OCCURRENCE,Not worked,Low Significance,SDST,138.79945940000002,-31.3726815,68
812,6458,Mn,Mn,OCCURRENCE,Abandoned,Low Significance,IRSU,139.20844540000002,-31.373997499999998,64
813,6438,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,LMST,138.6540855,-31.164463399999995,42
814,6792,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.546519,-30.7052773,17
815,6844,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.532,-30.7054033,17
816,6811,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.54478899999998,-30.7058283,17
817,413,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.4619881,-30.705863300000004,17
818,6786,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.537698,-30.705938300000003,17
819,6834,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.54837,-30.706030300000002,17
820,3135,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.54430200000002,-30.7062123,17
821,6814,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.530156,-30.7063443,17
822,9087,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,135.088774,-30.7064063,17
823,8303,"Cu, Ag, Au, REE, U, U3O8",Cu,DEPOSIT,Not worked,Significant to SA,PHBR,137.4963096,-31.2193554,68
824,6780,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.530601,-30.7092923,17
825,6802,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.53099699999999,-30.7093853,17
826,6816,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.545345,-30.70970130000001,17
827,6832,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.523664,-30.7097093,17
828,6819,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.525931,-30.70981230000001,17
829,6831,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.542086,-30.7098613,17
830,3132,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.523878,-30.7102403,17
831,6813,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.524481,-30.7105103,17
832,9088,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.753061,-30.6942903,17
833,3070,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.562203,-30.69539330000001,17
834,6815,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.542151,-30.6961913,17
835,9472,"Pb, Cu, Zn",Pb,OCCURRENCE,Not worked,Low Significance,MTHH,135.5894608,-32.9268213,43
836,9369,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSLT,139.00473730000002,-32.9278835,29
837,6246,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.4647414,-32.9310775,68
838,7808,SDST,SDST,OCCURRENCE,Ceased,Low Significance,SDST,138.2915334,-32.9345644,38
839,6499,Cu,Cu,PROSPECT,Not worked,Low Significance,SDST,138.8023324,-31.3757075,68
840,10762,BAR,BAR,OCCURRENCE,Abandoned,Low Significance,BARI,138.83371540000002,-31.3832605,74
841,9106,"Mn, Pb, Zn",Mn,OCCURRENCE,Not worked,Low Significance,MNOR,138.5420425,-31.383557399999997,64
842,6533,Zn,Zn,PROSPECT,Not worked,Low Significance,TCTO,139.30346740000002,-31.3854085,70
843,11542,"Ni, Cr",Ni,OCCURRENCE,Not worked,Low Significance,KOMT,134.541115,-30.8001913,82
844,8075,LMST,LMST,PROSPECT,Rehabilitated,Low Significance,LMST,136.9243457,-30.8041294,23
845,3747,ALU,ALU,PROSPECT,Not worked,Low Significance,RESI,132.13994540000002,-30.867563300000004,58
846,3081,Au,Au,OCCURRENCE,Seasonal,Low Significance,TCTO,134.99419,-30.867608299999997,17
847,10607,U,U,OCCURRENCE,Not worked,Low Significance,SAND,138.22429250000002,-30.8682284,31
848,3111,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.98638200000002,-30.8688673,17
849,595,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.1433355,-30.869532399999997,74
850,21,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.4002235,-30.869545399999996,68
851,576,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.4001935,-30.870350399999996,68
852,9164,Au,Au,OCCURRENCE,Not worked,Low Significance,TCTO,134.958384,-30.8712353,17
853,575,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.4088825,-30.8718774,74
854,6848,Au,Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.531922,-30.7109473,17
855,592,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.1473125,-30.887025399999995,74
856,602,"Zn, Ag, Cu, Pb",Zn,OCCURRENCE,Abandoned,Low Significance,VEIN,138.3454445,-30.887907399999996,70
857,9551,COAL,COAL,OCCURRENCE,Not worked,Low Significance,LIGN,138.10837450000002,-30.8918414,12
858,604,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.3993705,-30.8930614,68
859,4359,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.51381750000002,-30.8937364,74
860,9474,U,U,OCCURRENCE,Not worked,Low Significance,REGO,135.8004088,-33.060497399999996,31
861,9822,DIA,DIA,OCCURRENCE,Not worked,Low Significance,KIMB,138.9841783,-33.0606345,60
