MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE
2094,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,139.2335774,-30.2132875
4155,"Pb, Ag, Zn",Pb,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5348635,-30.2136444
11452,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.1872692,-30.2143573
4154,"Pb, Cu",Pb,OCCURRENCE,Not worked,Low Significance,VEIN,138.5381855,-30.2149654
4295,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5755715,-30.2151214
2115,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2831974,-30.1770425
2103,Cu,Cu,OCCURRENCE,Recreation,Low Significance,BREC,139.2798714,-30.1771795
4263,U,U,OCCURRENCE,Not worked,Low Significance,VEIN,139.4216204,-30.1773385
2114,"Cu, TALC",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2868654,-30.1773605
4162,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7200855,-30.1773924
11550,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,134.0717431,-30.1775763
4307,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.2983474,-30.1776915
3078,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.6663852,-30.1783403
2047,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,139.2753554,-30.1800975
4269,"Cu, Fe",Cu,OCCURRENCE,Not worked,Low Significance,METL,138.7069995,-30.1820354
9224,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,139.2739664,-30.1823345
11546,Au,Au,OCCURRENCE,Not worked,Low Significance,SCHT,133.9958781,-30.1824313
4385,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,139.4122804,-30.1833605
4369,U,U,OCCURRENCE,Abandoned,Low Significance,TCTO,139.4211064,-30.1834675
9174,Cr,Cr,OCCURRENCE,Not worked,Low Significance,PRDT,132.7815013,-30.1843103
9223,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.2829174,-30.1843435
2088,"Cu, TALC",Cu,OCCURRENCE,Abandoned,Low Significance,JASP,139.2723784,-30.1844495
4403,U,U,OCCURRENCE,Not worked,Low Significance,BREC,139.3824404,-30.2020135
2077,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.2440064,-30.2027695
4169,U,U,OCCURRENCE,Not worked,Low Significance,BREC,139.3595434,-30.2197035
4332,U,U,OCCURRENCE,Abandoned,Low Significance,BREC,139.3305374,-30.2201385
4334,"U, U3O8",U,OCCURRENCE,Abandoned,Low Significance,IRSU,139.3279334,-30.2202985
4156,Zn,Zn,OCCURRENCE,Not worked,Low Significance,DLOM,138.5336855,-30.2204734
4333,U,U,OCCURRENCE,Abandoned,Low Significance,IRSM,139.3307554,-30.2205925
10518,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3782774,-30.2208395
10516,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3798724,-30.2217615
10517,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3798724,-30.2217615
4430,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,AMPH,139.3986664,-30.2224435
2119,"Cu, Ag, U",Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,139.3575904,-30.1849095
2058,"U, Cu, U3O8",U,DEPOSIT,Not worked,Low Significance,VEIN,139.4228374,-30.1856535
11547,Au,Au,OCCURRENCE,Not worked,Low Significance,SCHT,134.0114181,-30.1861593
4314,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2702164,-30.1867345
4444,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2677474,-30.1875765
11548,Au,Au,OCCURRENCE,Not worked,Low Significance,SCHT,134.0467081,-30.1891263
9837,Al,Al,OCCURRENCE,Not worked,Low Significance,ANRT,134.4311591,-30.1896623
11549,Au,Au,OCCURRENCE,Not worked,Low Significance,SCHT,134.0653851,-30.1910663
1932,"U, U3O8",U,DEPOSIT,Ceased,Significant to SA,SAND,139.5917354,-30.1913655
4261,U,U,OCCURRENCE,Not worked,Low Significance,VEIN,139.4037394,-30.1913775
11524,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.2136492,-30.1917043
2116,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,139.2423264,-30.1921095
4252,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6005605,-30.1925504
9205,U,U,OCCURRENCE,Abandoned,Low Significance,FBRC,139.4015384,-30.1926135
4259,U,U,OCCURRENCE,Not worked,Low Significance,BREC,139.4101504,-30.1931695
3202,U,U,OCCURRENCE,Not worked,Low Significance,FBRC,139.3656904,-30.1935255
4271,U,U,OCCURRENCE,Not worked,Low Significance,VEIN,139.4089904,-30.1942385
4368,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7502255,-30.1943314
4183,U,U,OCCURRENCE,Not worked,Low Significance,FBRC,139.3954434,-30.1969605
4327,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5949835,-30.1974874
8255,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.5652445,-30.2000464
3131,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.4279702,-30.2018923
4383,"Cu, Pb",Cu,OCCURRENCE,Abandoned,Low Significance,IRSU,138.5691285,-30.2152724
4209,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.5656975,-30.2153894
9081,COAL,COAL,OCCURRENCE,Not worked,Low Significance,LIGN,132.9701573,-30.2156943
11159,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,CLYR,138.5989805,-30.2159734
4434,Cu,Cu,PROSPECT,Abandoned,Low Significance,VEIN,138.5817715,-30.2164084
414,"Au, Al",Au,OCCURRENCE,Abandoned,Low Significance,VEIN,134.1387181,-30.2165833
11446,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.4905802,-30.2172993
4416,FLUR,FLUR,OCCURRENCE,Not worked,Low Significance,VEIN,139.3477384,-30.2173905
2076,"U, U3O8",U,DEPOSIT,Abandoned,Low Significance,IRSU,139.3789004,-30.2176895
9182,U,U,OCCURRENCE,Not worked,Low Significance,BREC,139.3345364,-30.2178545
4290,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5887955,-30.2179814
4381,"U, U3O8",U,DEPOSIT,Not worked,Low Significance,BREC,139.3224624,-30.2192345
9210,U,U,OCCURRENCE,Not worked,Low Significance,REGO,139.3524354,-30.2192745
2090,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2860764,-30.1726595
2009,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.4045594,-30.1727105
2086,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,IRSU,139.2903024,-30.1745195
8954,"Cu, Au, U",Cu,OCCURRENCE,Not worked,Locally Significant,MTHH,137.0133427,-30.1749004
2050,"U, Cu",U,OCCURRENCE,Not worked,Low Significance,FBRC,139.4415624,-30.1751585
11516,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.7533822,-30.1757413
2118,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,139.3064714,-30.1762625
4226,U,U,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3869304,-30.2253675
10648,MSLT,MSLT,OCCURRENCE,Seasonal,Low Significance,MSED,138.5286735,-30.2257004
4223,U,U,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3844674,-30.2266905
4222,U,U,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3825914,-30.2270275
10512,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3867434,-30.2272595
4339,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3338574,-30.2273195
4335,U,U,OCCURRENCE,Abandoned,Low Significance,IRSU,139.3415384,-30.2277775
4414,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.2458464,-30.2278855
10511,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3842904,-30.2279515
4224,U,U,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3796984,-30.2279805
2120,"COR, PHOS",COR,OCCURRENCE,Recreation,Low Significance,SCHT,139.3079684,-30.2283865
11687,COR,COR,OCCURRENCE,Not worked,Low Significance,SCHT,139.4276864,-30.2287135
4354,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.2314034,-30.2289475
4225,"U, Mo",U,OCCURRENCE,Abandoned,Low Significance,FBRC,139.3840034,-30.2296615
4402,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5272575,-30.2299854
4438,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.7062245,-30.2345124
4338,U,U,OCCURRENCE,Abandoned,Low Significance,FBRC,139.3306164,-30.2346765
4337,"U, Ra, U3O8",U,OCCURRENCE,Abandoned,Low Significance,BREC,139.3380824,-30.2355835
558,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,135.6243069,-30.2356133
9213,W,W,OCCURRENCE,Not worked,Low Significance,MSOM,139.1763484,-30.2386645
4260,U,U,OCCURRENCE,Not worked,Low Significance,VEIN,139.3285634,-30.2393425
4231,OCR,OCR,OCCURRENCE,Not worked,Low Significance,IRSU,138.3420586,-30.2397804
6839,Al,Al,OCCURRENCE,Not worked,Low Significance,VEIN,134.2938861,-30.2403413
2045,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.3806574,-30.3436255
562,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,135.7521509,-30.3466573
9699,"Cu, Ni",Cu,OCCURRENCE,Not worked,Low Significance,GBNR,133.7350552,-30.3469423
11220,CALI,CALI,PROSPECT,Ceased,Low Significance,CALC,139.4709084,-30.3472675
4146,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.8878615,-30.3477285
563,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,135.9109189,-30.3481583
564,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,135.8948969,-30.3482413
4440,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.3271164,-30.3491255
9236,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.2657906,-30.3529674
4186,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6228795,-30.3552174
10281,GRNT,GRNT,OCCURRENCE,Not worked,Low Significance,GRNT,133.9511081,-30.2423773
11515,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.5099182,-30.2432353
11320,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,134.803708,-30.2440823
2057,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.4262014,-30.2548975
9148,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,137.0665127,-30.2596864
4326,ASBT,ASBT,OCCURRENCE,Not worked,Low Significance,MTHH,138.7988765,-30.2618814
9542,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5446772,-30.2624033
11644,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.4218331,-30.2631433
2154,"Cu, TALC",Cu,OCCURRENCE,Abandoned,Low Significance,DLOM,139.4227434,-30.2631565
8499,W,W,OCCURRENCE,Not worked,Low Significance,CASI,139.1464364,-30.2656715
3041,Au,Au,OCCURRENCE,Not worked,Low Significance,TCTO,133.5511592,-30.2662463
9212,U,U,OCCURRENCE,Not worked,Low Significance,REGO,139.3288784,-30.2698415
9541,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5132642,-30.2708563
2095,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.4203874,-30.2739555
11545,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,134.2787091,-30.2766263
10876,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.5353382,-30.2809673
2148,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,139.2662874,-30.2810565
4258,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,139.2751424,-30.2815955
11801,Fe,Fe,OCCURRENCE,Not worked,Low Significance,BIFM,133.5296752,-30.2828433
2117,ASBT,ASBT,OCCURRENCE,Not worked,Low Significance,MTHH,139.2658534,-30.2836835
8289,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.4991752,-30.2847173
3199,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.4131214,-30.2862285
11543,Zn,Zn,OCCURRENCE,Not worked,Low Significance,VEIN,134.2421221,-30.2229453
10513,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3891504,-30.2230035
3752,Fe,Fe,PROSPECT,Not worked,Low Significance,QMTU,133.4827612,-30.2879833
361,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5048752,-30.2886893
4300,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.8096025,-30.2890654
2140,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.4344764,-30.2900765
6810,Fe,Fe,OCCURRENCE,Not worked,Low Significance,IRSU,133.5116482,-30.2918063
8086,"GRVL, CALI",GRVL,PROSPECT,Care/ Maintenance,Low Significance,GRVL,139.6835504,-30.2931075
9234,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,138.7507375,-30.2934564
9235,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,REGO,138.7036805,-30.2961604
2062,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,TCTO,139.3989124,-30.2969725
559,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,135.8268639,-30.2984703
4360,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7316795,-30.2987424
4322,"U, U3O8",U,DEPOSIT,Not worked,Locally Significant,FBRC,139.3404714,-30.2232535
4321,"U, REE",U,OCCURRENCE,Not worked,Low Significance,MTHH,139.3485674,-30.2237165
2055,FLUR,FLUR,OCCURRENCE,Not worked,Low Significance,VEIN,139.3443814,-30.2237745
4214,Cu,Cu,OCCURRENCE,Not worked,Low Significance,CASI,138.5026845,-30.2240804
10514,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3892344,-30.2242225
8804,MAGS,MAGS,DEPOSIT,Not worked,Locally Significant,MGNS,138.0241536,-30.2245884
4336,U,U,OCCURRENCE,Not worked,Low Significance,BREC,139.3346274,-30.2248035
10515,U,U,OCCURRENCE,Not worked,Low Significance,TCTO,139.3803404,-30.2249245
4227,U,U,OCCURRENCE,Abandoned,Low Significance,VEIN,139.3876134,-30.2249245
2099,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,139.4503984,-30.3552465
4393,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6997195,-30.3562774
11652,Cu,Cu,OCCURRENCE,Not worked,Low Significance,GOSS,138.9212715,-30.3570995
9175,Cr,Cr,OCCURRENCE,Not worked,Low Significance,PXNT,132.5129893,-30.3574563
3198,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.3706654,-30.3577055
4373,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.6651455,-30.3580094
9543,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5349932,-30.3592863
4318,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6866465,-30.3592934
4375,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6194305,-30.3601614
3011,Fe,Fe,DEPOSIT,Not worked,Locally Significant,QMTU,134.7625,-30.3070863
4270,Ni,Ni,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6705105,-30.3074954
9362,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.4500052,-30.3076023
8803,MAGS,MAGS,DEPOSIT,Not worked,Locally Significant,MGNS,138.1135796,-30.3093804
11269,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.1415911,-30.3098633
4330,"Au, Ni",Au,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6620885,-30.3102534
4197,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.7633055,-30.3116414
9204,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.3871824,-30.3116445
2145,"Cu, Ag",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.4014404,-30.3127835
2063,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,BREC,139.4559324,-30.3141685
11521,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,134.0688361,-30.3142103
11387,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3969494,-30.3153545
9544,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5522432,-30.3169843
3165,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6991145,-30.3199134
2049,Cu,Cu,OCCURRENCE,Not worked,Low Significance,BREC,139.3819354,-30.3202225
2150,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.4433574,-30.3202455
4906,TOZ,TOZ,OCCURRENCE,Not worked,Low Significance,MTHH,136.0674488,-30.3205443
11181,Fe,Fe,DEPOSIT,Not worked,Locally Significant,BIFM,134.709708,-30.3234863
362,"Fe, PHOS",Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5382072,-30.3237303
9233,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,138.6998365,-30.3246174
3162,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6952105,-30.3755914
3169,"Cu, Ag, Pb",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5706305,-30.3776634
4399,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.9016085,-30.3778635
11529,Zn,Zn,PROSPECT,Not worked,Low Significance,MTHH,134.712311,-30.3802523
4345,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.9293865,-30.3813185
3176,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,138.9303905,-30.3830485
613,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.4470055,-30.3830624
8384,"Zn, Ag, Mo, Pb",Zn,OCCURRENCE,Not worked,Low Significance,SKRN,134.664852,-30.3836743
2159,Cu,Cu,DEPOSIT,Abandoned,Low Significance,FBRC,139.3915544,-30.3844065
7868,SAND,SAND,OCCURRENCE,Abandoned,Low Significance,SAND,139.6046344,-30.4541585
8306,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.6699012,-30.3252533
363,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5475952,-30.3254143
9225,Cu,Cu,OCCURRENCE,Not worked,Low Significance,BREC,138.8441335,-30.3271584
2051,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,139.3746854,-30.3285225
10428,Cu,Cu,OCCURRENCE,Not worked,Low Significance,BREC,138.6965935,-30.3298824
9627,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.3725784,-30.3301205
11531,Pb,Pb,OCCURRENCE,Not worked,Low Significance,RHYO,134.5433241,-30.3301403
2109,Au,Au,OCCURRENCE,Abandoned,Low Significance,BREC,139.3793364,-30.3302945
10427,Cu,Cu,OCCURRENCE,Not worked,Low Significance,BREC,138.6933075,-30.3325304
9176,Cr,Cr,OCCURRENCE,Not worked,Low Significance,UINT,132.5348103,-30.3334253
9226,Cu,Cu,OCCURRENCE,Not worked,Low Significance,BREC,138.8569055,-30.3338714
9231,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,138.7226155,-30.3340254
6790,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.5594292,-30.3340713
9430,Cu,Cu,OCCURRENCE,Not worked,Low Significance,SKRN,138.6994775,-30.3355254
4196,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.3766314,-30.3366675
3200,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,139.3789874,-30.3388615
4286,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6921915,-30.3396094
8627,HMIN,HMIN,DEPOSIT,Not worked,Locally Significant,SAND,132.3945773,-30.3398153
9230,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,138.8164185,-30.3419664
4425,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.8195275,-30.3424164
11530,Au,Au,OCCURRENCE,Not worked,Low Significance,LMST,134.644719,-30.3432133
9229,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,138.6899125,-30.3752274
3163,"Cu, Ag",Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,138.5418855,-30.3623334
4372,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.6732465,-30.3629344
8087,"GRVL, CALI",GRVL,OCCURRENCE,Care/ Maintenance,Low Significance,GRVL,139.4620294,-30.3632335
11523,Au,Au,OCCURRENCE,Not worked,Low Significance,REGO,133.3644912,-30.3655563
4420,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.9143765,-30.3679085
557,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,REGO,135.7849929,-30.3683013
3161,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,138.5640865,-30.3688824
3164,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.5504375,-30.3739494
3167,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,MTHH,138.6778685,-30.3742024
8085,"GRVL, CALI",GRVL,PROSPECT,Care/ Maintenance,Low Significance,GRVL,139.6799764,-30.2991585
2092,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,BREC,139.3992554,-30.2995185
3166,"Cu, Ag, Au",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7062365,-30.2998324
409,RHYO,RHYO,DEPOSIT,Seasonal,Locally Significant,RHYO,134.5271071,-30.3027383
4168,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7228895,-30.3032174
2048,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.3924514,-30.3042015
4243,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.4568114,-30.3042825
2102,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MTHH,139.3301544,-30.3049545
365,Fe,Fe,PROSPECT,Not worked,Low Significance,QMTU,133.5163882,-30.3050333
377,"Ni, PTM",Ni,OCCURRENCE,Not worked,Low Significance,MPRD,133.6204972,-30.4145203
2070,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.4151924,-30.4158155
2071,"Cu, Ag, Au, Co",Cu,OCCURRENCE,Abandoned,Low Significance,TCTO,139.3171364,-30.4162085
8822,U,U,OCCURRENCE,Not worked,Low Significance,SAND,133.7433222,-30.4164083
4352,"MAGS, DOL",MAGS,DEPOSIT,Care/ Maintenance,Locally Significant,MGNS,138.2258076,-30.4168574
9211,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,139.3139044,-30.4184315
8292,"Ni, Fe",Ni,OCCURRENCE,Not worked,Low Significance,QMTU,133.6173092,-30.4194843
3509,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1533857,-30.4210254
4412,ASBT,ASBT,OCCURRENCE,Abandoned,Low Significance,MTHH,139.4074554,-30.4242925
3498,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1432737,-30.4250704
4386,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5363075,-30.4275264
3502,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1560577,-30.4289194
10888,LMST,LMST,DEPOSIT,Active Mine,Low Significance,LMST,136.9138907,-30.4306434
9075,OSH,OSH,OCCURRENCE,Not worked,Low Significance,OISH,129.2122378,-30.4308572
7870,"COAL, SHA",COAL,DEPOSIT,Ceased,Locally Significant,COAL,138.4002575,-30.4315664
614,BAR,BAR,OCCURRENCE,Not worked,Low Significance,BARI,138.4572405,-30.4317184
3500,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1734337,-30.4332324
9700,LMST,LMST,DEPOSIT,Seasonal,Low Significance,LMST,136.8557517,-30.4350744
4198,Cu,Cu,PROSPECT,Not worked,Low Significance,FBRC,138.4275875,-30.4363474
9701,LMST,LMST,DEPOSIT,Seasonal,Low Significance,LMST,136.8856777,-30.4376764
2101,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,139.2423044,-30.4379615
3513,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1668957,-30.4388434
3000,"Cu, Ag, Au, Fe, REE, U, U3O8",Cu,DEPOSIT,Active Mine,World-wide Significance,PHBR,136.8893697,-30.4403264
3496,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1601637,-30.4407234
8742,BAR,BAR,OCCURRENCE,Not worked,Low Significance,QBAU,138.8281095,-30.5425894
4180,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7813375,-30.5461714
400,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.4116092,-30.5468653
8859,Au,Au,OCCURRENCE,Not worked,Low Significance,MTHH,134.2579831,-30.5494753
405,GRNT,GRNT,OCCURRENCE,Not worked,Low Significance,GRNT,133.5383012,-30.5512363
10803,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,138.7914345,-30.5513414
4309,"Pb, Ag",Pb,OCCURRENCE,Abandoned,Low Significance,VEIN,138.7927395,-30.5515384
4364,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.4688785,-30.5591004
7883,BAR,BAR,OCCURRENCE,Abandoned,Low Significance,QBAU,138.8579395,-30.5604935
10802,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.8968955,-30.5614465
10855,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5217275,-30.4416914
3515,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1508277,-30.4419964
3159,Au,Au,OCCURRENCE,Seasonal,Low Significance,GRVL,138.5168395,-30.4436694
3520,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1770747,-30.4437444
3507,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1563977,-30.4443394
4182,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5297975,-30.4446864
4221,Mn,Mn,OCCURRENCE,Abandoned,Low Significance,MNOR,138.7522805,-30.4456844
9028,MARB,MARB,OCCURRENCE,Not worked,Low Significance,MARB,138.5444745,-30.4459064
3511,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,137.1705937,-30.4459984
3517,OPAL,OPAL,DEPOSIT,Seasonal,Significant to SA,OPAL,137.1656207,-30.4460924
4147,Pb,Pb,OCCURRENCE,Not worked,Low Significance,VEIN,138.8277805,-30.4465034
10887,LMST,LMST,DEPOSIT,Active Mine,Low Significance,LMST,136.8985227,-30.4468034
10856,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,138.5123395,-30.4469114
3160,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,138.5217065,-30.4471734
3177,"Pb, Ag",Pb,OCCURRENCE,Abandoned,Low Significance,TCTO,138.8232545,-30.4480364
